C_No.,Review Text,Star Rating,Polarity Scores
1,"free delivery 🙌, should I can get in every order",5,Satisfied
2,nice,5,Satisfied
3,bad app scammer,1,Dissatisfied
4,good,5,Satisfied
5,Excellent service 👏 👍 👌 😀,5,Extremely Satisfied
6,pehle order toh aajay,2,Neutral
7,beautiful plate from,5,Satisfied
8,good enough 👍🏻,3,Satisfied
9,good,4,Satisfied
10,Best app brooo i love it price timing in fact main periods mein thi emergency mein mujhe pad chahie tha and Kisi Apne delivery nahin diya accept instaMart I love itttt,5,Extremely Satisfied
11,excellent,5,Satisfied
12,good app,5,Satisfied
13,good,5,Satisfied
14,good,5,Satisfied
15,very nice,5,Satisfied
16,wow 😲😳,5,Extremely Satisfied
17,india most worsted instamart in goa more then 3x pay don't use any one plz plz think....,1,Neutral
18,Nice discount,5,Satisfied
19,good and nice appp,5,Satisfied
20,very nice,5,Satisfied
21,best and fast services good quality products,5,Extremely Satisfied
22,good,5,Satisfied
23,😘,5,Satisfied
24,Suggested some product on Instagram App...when it took me to Instamart the product was unavailable...stop misleading customers...,1,Dissatisfied
25,bilkul bakwas app hai feedback bakwas hai response kharab hai team behavior low hai iske alawa or app isse achchi opportunity dete hai i hope you understand guy's,1,Satisfied
26,good 👍🏻,5,Satisfied
27,good 👍🏻,5,Satisfied
28,good,4,Satisfied
29,A new way to fool people had been found by Swiggy the moment their database gets to know that if you have a credit card or debit card and had offer on that they remove that coupon and when you check the same with other persons app the same coupon and card is available so pathetic was not accepting this with Swiggy,1,Extremely Dissatisfied
30,DELIVERY IS VERY FAST 🏃,4,Neutral
31,app mein kahin Bhi adress dalne par vah deliver nahin kar sakta Saman kyunki app achcha nahin Hai,1,Neutral
32,wow,5,Satisfied
33,good for,4,Satisfied
34,no offer,1,Dissatisfied
35,very good,5,Satisfied
36,super service,5,Satisfied
37,good 👍,5,Satisfied
38,nice,5,Satisfied
39,I have used coupon but it has not used.. I have not satisfied with this app. I will never order with this app.🫠,3,Dissatisfied
40,reasonable price buy more n more,5,Neutral
41,gud,5,Neutral
42,very good time reaching,3,Satisfied
43,nice,5,Satisfied
44,good,5,Satisfied
45,super service,5,Satisfied
46,very good very nice ⭐⭐⭐⭐⭐,5,Extremely Satisfied
47,helpful ☺️,5,Satisfied
48,good,1,Satisfied
49,good,5,Satisfied
50,always very late delivery not on time,2,Neutral
51,good,3,Satisfied
52,nice with first order,5,Satisfied
53,nice,5,Satisfied
54,nice,5,Satisfied
55,nice app,5,Satisfied
56,"best app , i love it",5,Extremely Satisfied
57,"very poor or worse app they are all doing scam because after my order cancellation they not give my amount refund, and after contact costomer support they me a silly reason. now I am taking legal action against him , i'm going to complaint on consumer portal.",1,Extremely Dissatisfied
58,good,5,Satisfied
59,nice app like many offers,5,Satisfied
60,average,3,Neutral
61,good service,3,Satisfied
62,thanks for the refund,5,Satisfied
63,super 💯💯,5,Satisfied
64,nice,4,Satisfied
65,I love ❤,5,Extremely Satisfied
66,super,5,Satisfied
67,super,5,Satisfied
68,mast good 👍😌,5,Satisfied
69,good,5,Satisfied
70,not the best🤩 not the waste,5,Dissatisfied
71,best,5,Satisfied
72,"This is a very useless app, experience says so because I had ordered milk and rusk from here which was completely useless, when I put the milk on the stove, I took out the curd and what I saw was that the rusk packet was torn, it looked as if a rat had cut it, when I asked for help at the help desk, they asked for help on email, but even when I took help on email, I did not get my money refunded nor compensation, due to which my experience says that this app is very useless... 😑☹️",1,Dissatisfied
73,nice,1,Satisfied
74,"Avoid buying expensive items from Instamart. I received a defective product, and despite providing all the required proof, they refused to issue a refund or allow a return. Their customer service was completely unhelpful. Not a trustworthy service for high-value purchases.",1,Extremely Dissatisfied
75,nice,4,Satisfied
76,like it tq fro help,5,Satisfied
77,Swift delivery,5,Neutral
78,super,5,Satisfied
79,Nice offers,4,Satisfied
80,The app is very bad Don't use it No value of safety No rules and regulations and My product peanut butter Seal is already open when I received the product is damaged and eaten and didn't have replace or refund policy I have very bad experience of insta Mart my money got wasted,1,Extremely Dissatisfied
81,very good,5,Satisfied
82,"superb , value for money , variety",5,Extremely Satisfied
83,good,5,Satisfied
84,good,2,Satisfied
85,best,3,Satisfied
86,ok,4,Satisfied
87,very good service sir,5,Satisfied
88,good,5,Satisfied
89,nice work,5,Satisfied
90,good,5,Satisfied
91,great 👍,5,Satisfied
92,I had a very bad experience with them. They said that they would order for 10 minutes but they got it half to one hour late.,1,Dissatisfied
93,good,5,Satisfied
94,I used blinkit it was not working so I downloaded instamart and and you dont need to give extra money like for deliver fee and all just pay for what you buy,5,Satisfied
95,Cooperative app nice service,5,Satisfied
96,superb,5,Satisfied
97,very good,5,Satisfied
98,Nice,4,Satisfied
99,wow,5,Satisfied
100,I am happy,5,Satisfied
101,cheap and best quality 😁 😁,4,Extremely Satisfied
102,super,5,Satisfied
103,good,5,Satisfied
104,not order cancel hota Hi nahin Hai 😡,1,Neutral
105,good 👍👍👍👍👍,5,Satisfied
106,greattt offers,5,Neutral
107,Poor service & very disappointing this is not fair... my order automatic cancelled why... Whithout any information I'll never use again,1,Extremely Dissatisfied
108,good,5,Satisfied
109,good,5,Satisfied
110,it is the best app for shopping,5,Satisfied
111,Why will there be no delivery in my area?,1,Dissatisfied
112,very good service,5,Satisfied
113,very good,5,Satisfied
114,👍👍👍,5,Neutral
115,nice one 👍,2,Satisfied
116,Good,5,Satisfied
117,super delivery,5,Satisfied
118,very faster delivery,5,Neutral
119,gold,5,Neutral
120,GOOD,5,Satisfied
121,good,5,Satisfied
122,Good,4,Satisfied
123,best of its kind,5,Extremely Satisfied
124,👍,5,Neutral
125,Excellent,5,Satisfied
126,it's is amazing app to me 😀,5,Satisfied
127,super 👍😍👍👍👍👍,5,Extremely Satisfied
128,price is little bit high,3,Neutral
129,good,5,Satisfied
130,Good Quality,5,Satisfied
131,super,5,Satisfied
132,thank you ☺️,5,Satisfied
133,good,5,Satisfied
134,good 👍,5,Satisfied
135,gud delivery timing,4,Neutral
136,Very good to shop,5,Satisfied
137,no option to contact customer care,2,Satisfied
138,100 rupaye coupons nahi mile very poor,1,Dissatisfied
139,👍👍 good,5,Satisfied
140,wow,5,Satisfied
141,good,3,Satisfied
142,nice app it's useful for everyone 😍,5,Extremely Satisfied
143,good,5,Satisfied
144,good 😊,3,Extremely Satisfied
145,Good service,5,Satisfied
146,super,5,Satisfied
147,good,5,Satisfied
148,nice,5,Satisfied
149,awesom service amazing application easy to use no hassle,5,Satisfied
150,I like this app tooooooooo!,5,Satisfied
151,nice one,5,Satisfied
152,really nice,5,Satisfied
153,good,5,Satisfied
154,good 👍,5,Satisfied
155,"on time delivery,and easy process it",5,Satisfied
156,very for emergency delivery and old people very helpful,5,Neutral
157,good mmm,5,Satisfied
158,good company to buy things frm,5,Satisfied
159,excellent,5,Satisfied
160,good,5,Satisfied
161,good,5,Satisfied
162,nice,5,Satisfied
163,nice,5,Satisfied
164,good aplication,5,Satisfied
165,good app,5,Satisfied
166,satisfied with this app💗,4,Extremely Satisfied
167,good 👍🏻 app,5,Satisfied
168,nice work,5,Satisfied
169,delays orders,2,Neutral
170,very good,5,Satisfied
171,sabse jyada bekar service he koi serious issue pe bhi koi action nahi lete hum order cancel kare to cancellation charges or inki khud ki galti ho to sorry bas .apni friend ko kuch bhej bhi nahi sakte ese to inke delivery partner he without dress without bag they delever without carry bag ye sab hone ke bad bolte he sorry age se nahi hoga,1,Dissatisfied
172,good 👍,5,Satisfied
173,I will think about it,4,Neutral
174,super,5,Satisfied
175,very nice 👌 👍 👏,5,Extremely Satisfied
176,nice,4,Satisfied
177,good,5,Satisfied
178,nice,5,Satisfied
179,nice work 👏 on time easy to use,5,Satisfied
180,good 👍,5,Satisfied
181,Good,3,Satisfied
182,perfect nice,5,Extremely Satisfied
183,good,5,Satisfied
184,amazing,5,Satisfied
185,it's helpful,4,Satisfied
186,nice,5,Satisfied
187,its good to ordar,5,Satisfied
188,instamart the best app in fresh product,5,Extremely Satisfied
189,good,5,Satisfied
190,thik his very helpfull,5,Neutral
191,This app is very useful for forget able students.,5,Satisfied
192,good 👍,5,Satisfied
193,good,5,Satisfied
194,most of the time few category its sending near expiry item which some time if we delay to check or orderd bulk item get expire happend with panner most of the time i recived in 2 or three day the packet is having its epiry and health drinks alsohaving same case,1,Dissatisfied
195,good,5,Satisfied
196,Good,5,Satisfied
197,bad sarvice,1,Dissatisfied
198,good,5,Satisfied
199,ok ok,5,Satisfied
200,good and fast delivery service,5,Satisfied
201,good for online shopping,5,Satisfied
202,good,5,Satisfied
203,super app Thanks 👍,5,Extremely Satisfied
204,supper,5,Neutral
205,very good,5,Satisfied
206,most thenks for you Instamart good service,5,Satisfied
207,"applied coupon but in final bill it was not deducted, so I paid original amount without coupon deduction.",3,Satisfied
208,Good,5,Satisfied
209,all payment options doesn't work. credit card payment doesn't work but strangely UPI does.,1,Neutral
210,good service,5,Satisfied
211,good,5,Satisfied
212,nice app hope you stay as same,5,Satisfied
213,customer service on the waste experience.....,1,Dissatisfied
214,poor,1,Dissatisfied
215,very good,5,Satisfied
216,awesome,5,Satisfied
217,nice,5,Satisfied
218,Very helpfull app for home service in emergency,5,Dissatisfied
219,good,4,Satisfied
220,good,5,Satisfied
221,very convenient app,4,Neutral
222,❤️❤️❤️❤️❤️❤️❤️,5,Neutral
223,do not understand delivery boy,1,Neutral
224,best app and best discounts,5,Extremely Satisfied
225,amazing,5,Satisfied
226,Delivery time-10/10 Ease of use/interface-10/10 Variety/Range of products-10/10 Price discounts-10/10 Reduced 1 star due to very high number of expired products received. Rest is all good.,4,Satisfied
227,Money does not refund if products are mising,1,Neutral
228,nice,4,Satisfied
229,good,5,Satisfied
230,good,5,Satisfied
231,good app,4,Satisfied
232,nice,5,Satisfied
233,nice app,5,Satisfied
234,best Descount,5,Satisfied
235,app is very use ful,5,Neutral
236,very good app for 10 min,5,Satisfied
237,super,5,Satisfied
238,very nice good,4,Satisfied
239,"delivery is slow, need to be faster like blinkit",4,Satisfied
240,very good,5,Satisfied
241,amazing,5,Satisfied
242,ok,5,Satisfied
243,quick delivery i got everything fresh here vegetables fruits curd etc and less charges the other app thank you 💗,5,Extremely Satisfied
