C_No.,Review Text,Star Rating,Polarity Scores
1,Zepto is just awesome,5,Satisfied
2,nice interesting in zepto,5,Satisfied
3,fastest app zepto... so this is my favourite app,5,Neutral
4,good,5,Satisfied
5,location not available 😞,1,Satisfied
6,it's too good,5,Satisfied
7,good,5,Satisfied
8,very good,5,Satisfied
9,bad servise,1,Dissatisfied
10,I orderd biscuits but one the biscuits was 1 row was fully crushed .then I open the products and take photos and videos of the biscuit condition then escalate to support team but that executive told product once opened means not given refund ....my question is how to I tell u my biscuits was crushed with out open the pocket....very disappointing with zepto,1,Extremely Dissatisfied
11,Good service,4,Satisfied
12,Bad support team ever I have seen in my life .I have ordered kids scooter before 9.45 pm on 10.12.2025 but not received yet . app is showing 15 minutes your order will be there.still waiting and will see when they deliver my order.,1,Neutral
13,best,5,Satisfied
14,ara phycsho team why ur not providing cost high to low and low to high sorting or filter,3,Dissatisfied
15,supb,5,Neutral
16,good service,5,Satisfied
17,To late,1,Neutral
18,"do not buy in zepto, weights are not according to that is given in their app, very less weights of vegetables, fruits",1,Neutral
19,good parsun,5,Satisfied
20,worse interface and no option for cancellation before delivery,1,Dissatisfied
21,on time delivery,5,Neutral
22,good👍,5,Satisfied
23,one egg damage,5,Dissatisfied
24,is app mein jo delivery partner Hain vah kabhi kabhi kya Aksar Hamesha vah order Jab dekhte hain achha hota hai to usko bol Dete Hain cancel kar diya hai maine aur cancel karne ke liye Khud Hi Rakh lete hain yah bahut galat baat hai aap log is is per support per koi bhi vah nahin hota hai support karne jao To Kuchh Bhi Nahin Pata Chalta Hai help Lo To Nahin Hota Hai Is per is Jab zepto ko action Lena chahie Mere Sath 3:00 se 4 bar ho chuka hai,1,Satisfied
25,"scam app. don't use this app to buy products. I loss around Rs4,000 INR. People will send duplicate products",1,Dissatisfied
26,kbi kbi damage product de deta h baki ok,3,Neutral
27,nice,5,Satisfied
28,Best aap ever. perfect items and price (cost ) and loving it 😆🫶🏻💗 . but according to me Zepto have to increase delivery boy talking way or response 😕 btw the other things is perfect 🤌🏻💗,5,Extremely Satisfied
29,good,5,Satisfied
30,very service,5,Neutral
31,Very disappointed experience not for single time but every time,1,Dissatisfied
32,nice zepto,5,Satisfied
33,fast service 👍👍👍,5,Neutral
34,good 👍 great,5,Extremely Satisfied
35,excellent service,5,Satisfied
36,super fast delivery,5,Satisfied
37,good,5,Satisfied
38,ontime delivery with polite persons,5,Neutral
39,Fast service,5,Neutral
40,"Off late, most of the fruits delivered are rotten and support also sucks. It's better to avoid the App for fruits & vegetables.",1,Dissatisfied
41,super,5,Satisfied
42,fast delivery,5,Neutral
43,No response just stalkers,1,Dissatisfied
44,very good service,5,Satisfied
45,great initiative but the app is not working nowadays and the store is closed is more often high demand is there that you are not able to meet,1,Neutral
46,very good app with excellent service and delivery guys behavior wass so good thank uh zepto ❤️,5,Extremely Satisfied
47,good 👍,5,Satisfied
48,Today I ordered dark chocolate and received an expired product. totally unhappy with zepto.,1,Dissatisfied
49,good,5,Satisfied
50,wrost,1,Neutral
51,Easy buying fast delivery good products,5,Satisfied
52,"I'm unable to install zepto, so help me to fix this issue",5,Satisfied
53,"very bad .. my experience because... zepto walo ne delivery boy chor rakha hai ... or yeh toh zepto wale log ka paisa dene ka chalaki hai ... issiliye toh mujhe zepto ke taraf se help bhi nhi mila ...,..",1,Dissatisfied
54,it's good,5,Satisfied
55,nice 👍👍,5,Satisfied
56,तुम इसको permissions देने में रह जाओ सका,1,Neutral
57,super fast delivery and amazing service. Keep it up 🔥,5,Satisfied
58,very well service,5,Satisfied
59,gud,5,Neutral
60,"I have used many grocery apps but there is no one like this one. It is the best in every field be it lowest price or customer service and everything is fresh, fruits, every single thing, grocery items are also the best and if I want to share my experience then according to me this is the best app for grocery and everything else🫂❤",5,Extremely Satisfied
61,order quick,5,Neutral
62,bekar ho tum,1,Neutral
63,Poor quality & Customer support. no longer needed this service. uninstalling the app now,1,Dissatisfied
64,thanku you,5,Neutral
65,good 💯,5,Satisfied
